STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA_Name,NatWalkInd,STATE,COUNTY,TRACT
5,35,30804,2,"Memphis-Forrest City, TN-MS-AR",7.333333333,05,035,030804
5,123,960600,6,"Memphis-Forrest City, TN-MS-AR",4.333333333,05,123,960600
5,123,960600,1,"Memphis-Forrest City, TN-MS-AR",1,05,123,960600
5,35,30102,3,"Memphis-Forrest City, TN-MS-AR",14.16666667,05,035,030102
5,35,30501,1,"Memphis-Forrest City, TN-MS-AR",12.16666667,05,035,030501
5,35,30202,2,"Memphis-Forrest City, TN-MS-AR",9.333333333,05,035,030202
5,35,30701,1,"Memphis-Forrest City, TN-MS-AR",2.666666667,05,035,030701
5,35,30805,2,"Memphis-Forrest City, TN-MS-AR",11.66666667,05,035,030805
5,35,30804,1,"Memphis-Forrest City, TN-MS-AR",4.5,05,035,030804
5,35,30805,1,"Memphis-Forrest City, TN-MS-AR",9,05,035,030805
5,35,30502,1,"Memphis-Forrest City, TN-MS-AR",11.66666667,05,035,030502
5,35,30806,2,"Memphis-Forrest City, TN-MS-AR",7.833333333,05,035,030806
5,35,31100,3,"Memphis-Forrest City, TN-MS-AR",3.166666667,05,035,031100
5,35,31200,1,"Memphis-Forrest City, TN-MS-AR",14.5,05,035,031200
5,35,31200,2,"Memphis-Forrest City, TN-MS-AR",13.66666667,05,035,031200
5,123,960200,4,"Memphis-Forrest City, TN-MS-AR",2.666666667,05,123,960200
5,123,960400,2,"Memphis-Forrest City, TN-MS-AR",7,05,123,960400
5,123,960300,2,"Memphis-Forrest City, TN-MS-AR",2.666666667,05,123,960300
5,123,960300,1,"Memphis-Forrest City, TN-MS-AR",6.666666667,05,123,960300
5,35,30202,3,"Memphis-Forrest City, TN-MS-AR",6.166666667,05,035,030202
5,123,960200,3,"Memphis-Forrest City, TN-MS-AR",2.333333333,05,123,960200
5,123,960500,1,"Memphis-Forrest City, TN-MS-AR",9.5,05,123,960500
5,123,960500,4,"Memphis-Forrest City, TN-MS-AR",7.5,05,123,960500
5,123,960400,3,"Memphis-Forrest City, TN-MS-AR",9.5,05,123,960400
5,123,960500,2,"Memphis-Forrest City, TN-MS-AR",4.5,05,123,960500
5,123,960500,3,"Memphis-Forrest City, TN-MS-AR",8,05,123,960500
5,123,960200,1,"Memphis-Forrest City, TN-MS-AR",4.166666667,05,123,960200
5,123,960200,2,"Memphis-Forrest City, TN-MS-AR",4.166666667,05,123,960200
5,123,960100,4,"Memphis-Forrest City, TN-MS-AR",6,05,123,960100
5,123,960400,1,"Memphis-Forrest City, TN-MS-AR",7.666666667,05,123,960400
5,123,960400,4,"Memphis-Forrest City, TN-MS-AR",6.833333333,05,123,960400
5,35,31100,1,"Memphis-Forrest City, TN-MS-AR",2.5,05,035,031100
5,35,31000,2,"Memphis-Forrest City, TN-MS-AR",4.333333333,05,035,031000
5,35,30201,5,"Memphis-Forrest City, TN-MS-AR",14.33333333,05,035,030201
5,35,30101,1,"Memphis-Forrest City, TN-MS-AR",14.83333333,05,035,030101
5,35,30600,1,"Memphis-Forrest City, TN-MS-AR",12,05,035,030600
5,35,30600,2,"Memphis-Forrest City, TN-MS-AR",2.666666667,05,035,030600
5,35,30600,4,"Memphis-Forrest City, TN-MS-AR",4.666666667,05,035,030600
5,35,31100,2,"Memphis-Forrest City, TN-MS-AR",7.166666667,05,035,031100
5,35,30201,1,"Memphis-Forrest City, TN-MS-AR",19.16666667,05,035,030201
5,35,30102,1,"Memphis-Forrest City, TN-MS-AR",11.5,05,035,030102
5,35,30101,2,"Memphis-Forrest City, TN-MS-AR",12.16666667,05,035,030101
5,35,31100,4,"Memphis-Forrest City, TN-MS-AR",3.166666667,05,035,031100
5,35,30102,2,"Memphis-Forrest City, TN-MS-AR",15.66666667,05,035,030102
5,35,30201,2,"Memphis-Forrest City, TN-MS-AR",13,05,035,030201
5,35,30201,3,"Memphis-Forrest City, TN-MS-AR",15.83333333,05,035,030201
5,35,30201,4,"Memphis-Forrest City, TN-MS-AR",15.33333333,05,035,030201
5,35,30202,1,"Memphis-Forrest City, TN-MS-AR",11,05,035,030202
5,35,30301,1,"Memphis-Forrest City, TN-MS-AR",9.666666667,05,035,030301
5,35,30301,2,"Memphis-Forrest City, TN-MS-AR",6.666666667,05,035,030301
5,35,30302,1,"Memphis-Forrest City, TN-MS-AR",14.5,05,035,030302
5,35,30600,3,"Memphis-Forrest City, TN-MS-AR",2.333333333,05,035,030600
5,35,30701,2,"Memphis-Forrest City, TN-MS-AR",1.666666667,05,035,030701
5,35,30703,1,"Memphis-Forrest City, TN-MS-AR",3.166666667,05,035,030703
5,35,30807,1,"Memphis-Forrest City, TN-MS-AR",4,05,035,030807
5,35,31000,1,"Memphis-Forrest City, TN-MS-AR",2.166666667,05,035,031000
5,35,30806,1,"Memphis-Forrest City, TN-MS-AR",4.833333333,05,035,030806
5,35,30702,1,"Memphis-Forrest City, TN-MS-AR",7.666666667,05,035,030702
5,35,30803,1,"Memphis-Forrest City, TN-MS-AR",8.333333333,05,035,030803
5,123,960300,3,"Memphis-Forrest City, TN-MS-AR",3.333333333,05,123,960300
5,123,960600,2,"Memphis-Forrest City, TN-MS-AR",5.666666667,05,123,960600
5,123,960600,3,"Memphis-Forrest City, TN-MS-AR",5.5,05,123,960600
5,123,960600,5,"Memphis-Forrest City, TN-MS-AR",6.666666667,05,123,960600
5,123,960600,4,"Memphis-Forrest City, TN-MS-AR",3.833333333,05,123,960600
5,123,960200,5,"Memphis-Forrest City, TN-MS-AR",1.833333333,05,123,960200
5,123,960100,2,"Memphis-Forrest City, TN-MS-AR",3,05,123,960100
5,123,960100,1,"Memphis-Forrest City, TN-MS-AR",3,05,123,960100
5,123,960200,6,"Memphis-Forrest City, TN-MS-AR",5.666666667,05,123,960200
13,313,502,3,"Chattanooga-Cleveland-Dalton, TN-GA",6.833333333,13,313,000502
13,313,502,4,"Chattanooga-Cleveland-Dalton, TN-GA",7.166666667,13,313,000502
13,129,970600,3,"Chattanooga-Cleveland-Dalton, TN-GA",6,13,129,970600
13,313,302,1,"Chattanooga-Cleveland-Dalton, TN-GA",7,13,313,000302
13,83,40102,2,"Chattanooga-Cleveland-Dalton, TN-GA",5.333333333,13,083,040102
13,295,20501,1,"Chattanooga-Cleveland-Dalton, TN-GA",8,13,295,020501
13,213,10100,2,"Chattanooga-Cleveland-Dalton, TN-GA",2.333333333,13,213,010100
13,83,40300,1,"Chattanooga-Cleveland-Dalton, TN-GA",2.333333333,13,083,040300
13,83,40101,2,"Chattanooga-Cleveland-Dalton, TN-GA",8.5,13,083,040101
13,295,20100,2,"Chattanooga-Cleveland-Dalton, TN-GA",4.666666667,13,295,020100
13,295,20200,2,"Chattanooga-Cleveland-Dalton, TN-GA",6.666666667,13,295,020200
13,295,20301,1,"Chattanooga-Cleveland-Dalton, TN-GA",4.333333333,13,295,020301
13,295,20302,2,"Chattanooga-Cleveland-Dalton, TN-GA",6.333333333,13,295,020302
13,295,20301,2,"Chattanooga-Cleveland-Dalton, TN-GA",4.666666667,13,295,020301
13,295,20302,4,"Chattanooga-Cleveland-Dalton, TN-GA",7.666666667,13,295,020302
13,83,40200,1,"Chattanooga-Cleveland-Dalton, TN-GA",2.333333333,13,083,040200
13,313,900,1,"Chattanooga-Cleveland-Dalton, TN-GA",9.833333333,13,313,000900
13,313,400,3,"Chattanooga-Cleveland-Dalton, TN-GA",9.166666667,13,313,000400
13,313,501,3,"Chattanooga-Cleveland-Dalton, TN-GA",4.5,13,313,000501
13,313,800,1,"Chattanooga-Cleveland-Dalton, TN-GA",8.166666667,13,313,000800
13,313,1100,1,"Chattanooga-Cleveland-Dalton, TN-GA",5.166666667,13,313,001100
13,213,10400,3,"Chattanooga-Cleveland-Dalton, TN-GA",9.166666667,13,213,010400
13,213,10600,1,"Chattanooga-Cleveland-Dalton, TN-GA",4.166666667,13,213,010600
13,213,10300,2,"Chattanooga-Cleveland-Dalton, TN-GA",4.166666667,13,213,010300
13,83,40101,1,"Chattanooga-Cleveland-Dalton, TN-GA",4.5,13,083,040101
13,83,40300,2,"Chattanooga-Cleveland-Dalton, TN-GA",5,13,083,040300
13,83,40200,2,"Chattanooga-Cleveland-Dalton, TN-GA",5.833333333,13,083,040200
13,313,1200,6,"Chattanooga-Cleveland-Dalton, TN-GA",7.5,13,313,001200
13,313,301,2,"Chattanooga-Cleveland-Dalton, TN-GA",6.666666667,13,313,000301
13,313,302,3,"Chattanooga-Cleveland-Dalton, TN-GA",5.833333333,13,313,000302
13,313,102,4,"Chattanooga-Cleveland-Dalton, TN-GA",4.5,13,313,000102
13,313,501,1,"Chattanooga-Cleveland-Dalton, TN-GA",7.833333333,13,313,000501
